CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
639906;BOTA PLUS ELLEBOOG SK S;Elleboog;12.32;14.50;-0.15;0.18
2830511;ENERGY COMPLEX NATURAL CAPS 60;Tonica;29.69;32.99;-0.10;0.11
3217585;THERAPEARL HOT-COLD PACK RUG;Spierpijn;17.27;20.32;-0.15;0.18
2154672;PUSH MED ELLEBOOGBRACE LINKS/RECHTS 32-35CM T4;Elleboog;92.65;109.00;-0.15;0.18
3076759;FYTOSTAR CHEW MAGNESIUM TABL 45;Magnesium;8.46;9.95;-0.15;0.18
2727683;FORMAG COMP 30;Magnesium;9.77;11.50;-0.15;0.18
1626209;VITAFYTEA ACID DRAIN COMP 60;Melkzuurpreventie;16.11;18.95;-0.15;0.18
2415081;BOTA HANDPOLSBAND 201 SKIN UNIVERSEEL M;Pols, hand en duim;30.26;35.60;-0.15;0.18
1658392;PROMAGNOR CAPS 30X450MG;Magnesium;13.56;15.95;-0.15;0.18
2972222;NUTRIMONIUM VANILLE NF PDR ZAKJE 14 15818;Tonica;18.27;21.49;-0.15;0.18
3020088;MAGNEVIT FORTE 450MG TABL 90;Magnesium;21.21;24.95;-0.15;0.18
2156966;MCDAVID PATELLA KNEE SUPPORT BLACK XL 421;Patella;55.21;64.95;-0.15;0.18
3065471;TRISPORTPHARMA HYDRA MAX LEMON-PINEAP.PDR 12X34,5G;Vochtbalans;16.65;18.50;-0.10;0.11
2352987;TONIXX PLUS TABL 60X1270MG;Tonica;41.22;48.50;-0.15;0.18
1705664;Ortel Knieband Katoen T5 2300;Knie;20.75;21.85;-0.05;0.05
3;NEXCARE 3M COLDHOT HOT INSTANT N1572;Spierpijn;10.31;12.13;-0.15;0.18
1046234;BOTA 40 AB ENKEL N 8 23CM;Enkel en hiel;12.32;14.50;-0.15;0.18
3036324;MAGNECALM MAGNESIUMGLYCEROFOSFAAT COMP 40;Magnesium;12.54;14.75;-0.15;0.18
639898;BOTA PLUS ELLEBOOG SK L;Elleboog;12.32;14.50;-0.15;0.18
2603009;CELLACARE RUGBANDAGE T5 17997;Rug;41.65;49.00;-0.15;0.18
2157873;MCDAVID DEL CALF SUPPORT BLACK/SCARLET S 441;Dij;21.21;24.95;-0.15;0.18
2648582;SPORTSCONTROL 2WIN TROPICAL PDR ZAKJE 25X37,75G;Vochtbalans;43.72;51.43;-0.15;0.18
3282688;OLIGOMAX MAGNESIUM 150ML;Magnesium;11.92;14.02;-0.15;0.18
2803591;MAGNEMAR FORCE 3 NF GEL 90 ORTHONAT;Spierkrampen;18.21;21.42;-0.15;0.18
88427;BOTASOL KNIESTUK SK 36CM M 2;Knie;19.38;22.80;-0.15;0.18
3344413;ALPHAMILIALE ALPHA SPORT 30ML;Massage;11.86;13.95;-0.15;0.18
2660140;COENZYME Q10 30MG+VTT E CAPS 60 6493 METAGENICS;Tonica;25.64;28.49;-0.10;0.11
1166586;APPEG ENKELSTUK EXTRA FIJN M;Enkel en hiel;13.06;15.37;-0.15;0.18
3377470;PHAR-MI-LAN IJZER-B12-FOLIUM 500ML;Ijzer;15.26;17.95;-0.15;0.18
1496686;CREATINE MONOHYDRAAT CAPS 100X500MG DEBA;Melkzuurpreventie;12.66;14.90;-0.15;0.18
3120995;MAGNE-MAX TABL 60+30 GRATIS 6264;Magnesium;15.26;17.95;-0.15;0.18
3087962;MAGNEPAMYL OPTI+ CAPS 45;Spierkrampen;13.57;15.97;-0.15;0.18
2275675;ERGYSIL GEL TUBE 200ML;Spierpijn;25.92;30.50;-0.15;0.18
497784;BOTA PLUS ENKEL SK XL;Enkel en hiel;12.32;14.50;-0.15;0.18
675694;OSTEO B PLUS BIOTICS COMP 90;Gewrichten;29.19;34.34;-0.15;0.18
2133049;SPORTSTECH CREAXXELL PDR 495G 3217 METAGENICS;Melkzuurpreventie;22.49;24.99;-0.10;0.11
1549880;PSB SPORT BRACE KNEE T2;Knie;82.45;97.00;-0.15;0.18
2675924;DEFATYL PLUS CAPS 60 VERVANGT 0607-309;Tonica;16.96;19.95;-0.15;0.18
1094150;VISCOGIB HIELVERHOGER X 2 43-46 T3 6369;Enkel en hiel;25.36;29.84;-0.15;0.18
609776;NAQI WARMING UP COMPETITION 2 LIPO-GEL 100ML;Spierpijn;11.64;13.69;-0.15;0.18
3029147;METARELAX NF ZAKJE 20 16121 METAGENICS;Magnesium;14.39;15.99;-0.10;0.11
1667450;ORTEL CUISSARD/ DIJBAND T1 2310;Dij;18.02;21.20;-0.15;0.18
3107935;ETIXX GINSENG&GUAR.ENERGY GEL RED C.-CHERRY 12X50G;Sportenergie;26.39;32.99;-0.20;0.25
2307262;PROMAGNOR INSTANT CITROEN STICK 30 X 350 MG;Melkzuurpreventie;15.26;17.95;-0.15;0.18
3032919;FERRODYN NF BLISTER CAPS 30 16176 METAGENICS;Ijzer;9.89;10.99;-0.10;0.11
1496975;MAGNEFORCE CAPS 100X750MG DEBA;Spierkrampen;16.91;19.90;-0.15;0.18
2969293;PHYTOSUN MASSAGE ONTSPANNEND NEK&RUG 50ML;Massage;12.71;14.95;-0.15;0.18
2607513;TRISPORTPHARMA RECUPRO+LEUCINE LEMON PDR POT 1,5KG;Recuperatie;41.85;46.50;-0.10;0.11
3;COBAN 3M REKVERBAND NEON ROL 7,5CMX4,57M 1 1583;Tape en windels;40.03;47.10;-0.15;0.18
2886828;VECTI-DYN GEL 60;Recuperatie;17.00;20.00;-0.15;0.18
2363810;ACTIMOVE KNEE SUPPORT L 7341502;Knie;24.63;28.98;-0.15;0.18
2933984;SLOAN SPORT TENNIS ELBOW L;Elleboog;16.99;19.99;-0.15;0.18
3;FUTURO DUIMSPALK S/M 45841;Pols, hand en duim;25.55;30.06;-0.15;0.18
830216;LEUKOTAPE CLASSIC WIT 5,00CMX10M 1 0170300;Tape en windels;9.36;11.01;-0.15;0.18
3421047;MAGNESIUM SERUM 200ML DEBA;Melkzuurpreventie;19.12;22.50;-0.15;0.18
498998;BOTA HANDPOLSBAND 200 SKIN L;Pols, hand en duim;18.61;21.90;-0.15;0.18
2154128;PUSH CARE ENKELBRACE RECHTS 32-35CM T3;Enkel en hiel;50.57;59.50;-0.15;0.18
1543388;ACIDOMIN PDR OPLOSBAAR 150G DEBA;Melkzuurpreventie;12.66;14.90;-0.15;0.18
1597087;CREATINE COMPLEX 250G;Krachtboosters;32.30;38.00;-0.15;0.18
3395902;ETIXX ISOTONIC POWDER ORANGE-MANGO 12X35G;Vochtbalans;22.39;27.99;-0.20;0.25
1615749;L-CARNITINE CAPS 60 66 METAGENICS;Uithouding;34.64;38.49;-0.10;0.11
3150612;TONIXX B-ACTIV TABL 40;Tonica;16.96;19.95;-0.15;0.18
2108124;ENDURAFORTE CAPS 60 DEBA;Uithouding;28.90;34.00;-0.15;0.18
86132;TENSOPLAST BAND. 4068 10 CMX2,75M;Tape en windels;12.58;14.80;-0.15;0.18
2324242;ORTIS RED ENERGY-G N1 1X15ML;Tonica;1.70;2.00;-0.23;0.18
3248564;MAGNESIUM GEL TUBE 200ML DEBA;Spierkrampen;16.15;19.00;-0.15;0.18
2562205;ELUSANES RHODIOLA CAPS 30;Uithouding;9.26;10.90;-0.15;0.18
2574507;SPORTSCONTROL 2WIN CITROEN PDR ZAKJE 6X37,75G;Vochtbalans;10.49;12.34;-0.15;0.18
2755726;ETIXX CARBO GY PDR POT 1KG;Sportenergie;22.39;27.99;-0.20;0.25
1182229;TOPIDERM HOT GEL 250ML;Massage;8.67;10.20;-0.15;0.18
2272441;GIBAUD RUGGORDEL ANATOM. H21 ZWART 78- 89 S 5014;Rug;33.96;39.95;-0.15;0.18
2972271;MAGNEPAMYL OPTIMUM STICK 20;Spierkrampen;13.78;16.21;-0.15;0.18
2574507;SPORTSCONTROL 2WIN CITROEN PDR ZAKJE 6X37,75G;Uithouding;10.49;12.34;-0.15;0.18
2154250;PUSH MED ENKELBRACE RECHTS 38-41CM T5;Enkel en hiel;84.15;99.00;-0.15;0.18
2140283;GLUCOSAMINE 1500 BE LIFE COMP 60;Gewrichten;17.01;18.90;-0.10;0.11
1330224;SORIA WEIGHT INCREASE CHOCOLA 500G;Eiwitten;21.21;24.95;-0.15;0.18
2375392;WHEY PROTEIN 100% VANILLE 750G;Eiwitten;28.50;30.00;-0.05;0.05
1705714;Ortel Knieband Forte T5 2325;Knie;27.07;28.49;-0.05;0.05
1463272;NAQI WARMING UP COMPETITION 3 LIPO-GEL 500ML;Massage;36.29;42.69;-0.15;0.18
3;FUTURO COMFORT LIFT KNEE SMALL 76586;Knie;11.66;13.72;-0.15;0.18
2651842;CONCAP BOOST POT CAPS 40X940MG;Tonica;20.82;24.50;-0.15;0.18
2154136;PUSH CARE ENKELBRACE RECHTS 35-38CM T4;Enkel en hiel;50.57;59.50;-0.15;0.18
1202894;COENZYME Q10 CAPS 90X30MG DEBA;Tonica;27.11;31.90;-0.15;0.18
3;NEXCARE 3M HEAT PATCH 13CMX9,5CM 5 N2005P;Spierpijn;10.46;12.31;-0.15;0.18
2969400;ALGI-COOL BLUE GEL TUBE 75ML;Spierpijn;8.92;10.50;-0.15;0.18
2926327;ETIXX RECOVERY SHAKE COMPLEX CHOCOLA PDR POT 1500G;Recuperatie;36.79;45.99;-0.20;0.25
1044478;BOTA ORTHO DF+BALEINEN 1000 SK N3;Knie;25.58;30.10;-0.15;0.18
2862316;TIGER BALM PLEISTER;Spierpijn;8.05;8.95;-0.10;0.11
1597087;CREATINE COMPLEX 250G;Aminozuren;32.30;38.00;-0.15;0.18
641704;BOTA PLUS ENKEL WH M;Enkel en hiel;12.32;14.50;-0.15;0.18
1302447;TOPIDERM MASSAGE OLIE 250ML;Massage;8.07;9.50;-0.15;0.18
3035813;INOVANCE FERRUM COMP 60 CA026N;Ijzer;16.20;18.00;-0.10;0.11
2709830;ORTIS RED ENERGY BIO Z/ALC 10X15ML;Tonica;11.16;14.50;-0.23;0.30
1154400;BOTA ORTHO AB+VELCRO 930 WH LI N1;Enkel en hiel;42.33;49.80;-0.15;0.18
2527562;ETIXX IRON AA CHELAAT 125 + CHLOROPHYL TABL 30;Ijzer;15.99;19.99;-0.20;0.25
2133049;SPORTSTECH CREAXXELL PDR 495G 3217 METAGENICS;Uithouding;22.49;24.99;-0.10;0.11
3074895;METARELAX ZAKJE 40 16372 METAGENICS;Magnesium;22.94;25.49;-0.10;0.11
3;COBAN 3M REKVERBAND WHITE ROL 7,5CMX4,57M 1583P-W;Tape en windels;4.06;4.78;-0.15;0.18
1463264;NAQI WARMING UP COPETITION 2 LIPO-GEL 500ML;Massage;34.56;40.66;-0.15;0.18
2157220;MCDAVID KNEE SUPP.OPEN PATELLA BLACK/SCARLET M 402;Knie;23.76;27.95;-0.15;0.18
2307577;TRISPORTPHARMA ERYTHROMAX BLISTER TABL 60;Ijzer;37.80;42.00;-0.10;0.11
1538032;MARNYS KONINGINNENBRIJ CAPS 30;Tonica;18.36;21.60;-0.15;0.18
2594323;ARKOCAPS MACA 45;Tonica;9.56;11.25;-0.15;0.18
1682723;CREATINE PDR 500G;Melkzuurpreventie;20.70;23.00;-0.10;0.11
1489061;ICE POWER GEL TUBE 150ML;Massage;14.07;16.55;-0.15;0.18
3379542;NAQI RECOVERY GEL 100ML;Massage;14.14;16.63;-0.15;0.18
2710085;VOGEL ALCHEMILLA COMPLEX GEWRICHTEN POT TABL 30;Gewrichten;14.80;18.50;-0.20;0.25
1799360;GIBORTHO ORTHESE POLS-DUIM RHIZ. 17-21 LINKS 6450;Pols, hand en duim;48.53;57.10;-0.15;0.18
2543536;PURESSENTIEL MASS.OLIE ARNICA-BERGTHEE BIO 100ML;Massage;14.96;17.60;-0.15;0.18
2895357;PHARMATON VITALITY CAPLETS 30 NF;Tonica;16.40;19.29;-0.15;0.18
2931962;ETIXX CARNITINE TABL 30;Uithouding;15.99;19.99;-0.20;0.25
