CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2271054;PROCELI CROISSANTS 300G 4156;Glutenvrij;4.21;4.68;-0.10;0.11
3027711;EXILIS COMP 60;Vetverbranders;16.49;19.40;-0.15;0.18
2930352;DELICAL EFFIMAX 2.0 PERZIK-PASSIEVRUCHT 4X200ML;Vervangvoeding;10.80;11.37;-0.05;0.05
1342831;ARKOCAPS BERK PLANTAARDIG 45;Vochtafdrijvers;8.41;9.90;-0.15;0.18
3077203;FRESUBIN SOUP GROENE GROENTEN CUP 4X200ML 7016701;Vervangvoeding;10.49;11.04;-0.05;0.05
3211075;FORTIMEL ENERGY MULTI FIBRE VANILLE 4X200ML;Proteïnenrijk;10.16;10.69;-0.05;0.05
2648616;RESOURCE 2.0 ABRIKOOS 4X200ML 12100545;Vervangvoeding;10.91;11.48;-0.05;0.05
3189834;PHYSALIS STRAKKE BUIK BIO COMP 30;Vetverbranders;13.05;14.50;-0.10;0.11
3211067;FORTIMEL COMPACT NEUTRAAL 4X125ML;Vervangvoeding;11.11;11.70;-0.05;0.05
2673226;PRODIA BROODBELEG EXTRA ZW.BES MALTITOL 215G 5638;Suikervrij/arm;2.88;3.20;-0.10;0.11
2879518;SYLVIA ZOETSTOF COMP 100;Suikervervangers;2.53;2.98;-0.15;0.18
2580637;FRESUBIN 2KCAL FIBRE DRINK CITROEN EASYBOT.4X200ML;Vervangvoeding;10.79;11.36;-0.05;0.05
3299294;KNEIPP THEE GOEDE STOELGANG ZAKJE 15;Moeilijke stoelgang;3.39;3.99;-0.15;0.18
2446474;OLVARIT GROENTEFESTIJN RIJST-KIP 12M 2X250G;Glutenvrij;3.41;3.59;-0.05;0.05
3289956;MEDSKIN FLAN PISTACHE ZAKJE 5;Eiwitdieet-maaltijdvervangers;12.75;15.00;-0.15;0.18
3026424;CLINUTREN MIX HAM-ERWTJES NF ZAKJE 6X75G;Proteïnenrijk;10.12;10.65;-0.05;0.05
2906006;FORTIMEL COMPACT PROTEIN BANAAN 4X125ML;Vervangvoeding;11.38;11.98;-0.05;0.05
2616910;NUTILIS VERDIKT WATER GRENADINE CUPS 12X125G;Proteïnenrijk;13.77;14.50;-0.05;0.05
3033354;VELOUTE HP/HC ZONNEGROENTEN ZAKJE 6X70G;Proteïnenrijk;14.25;15.00;-0.05;0.05
2664159;PRODIA KRIEKENCARRE 288G (6) 5615;Suikervrij/arm;6.07;6.75;-0.10;0.11
2342889;GREEN FLOR COMP 90;Detox;23.80;28.00;-0.15;0.18
2519205;FRESUBIN PROTEIN ENERGY DRINK TR.VRUCHT FL 4X200ML;Vervangvoeding;9.69;10.20;-0.05;0.05
3271681;CHILINE SLIM SOUP PDR 405G (27 PORTIES);Hongerstillers;24.25;26.95;-0.10;0.11
2931608;DELICAL CREME DESSERT HP-HC Z/LACT.ABRIKOOS 4X125G;Vervangvoeding;7.75;8.16;-0.05;0.05
2891273;KINESLIM SPAGHETTI BOLOGNAISE ZAKJE 4X44G;Eiwitdieet-maaltijdvervangers;10.16;11.95;-0.15;0.18
3289121;MEDSKIN SINAASAPPELDRANK POT 450G;Eiwitdieet-maaltijdvervangers;30.60;36.00;-0.15;0.18
2648467;NUTRINI LOW ENERGY MULTI FIBRE PACK 500ML 65719;Sondevoeding;5.79;6.10;-0.05;0.05
1682004;BIOLYS GROENE THEE+CITROENVRUCHT TEA-BAGS 20;Vetverbranders;3.98;4.98;-0.20;0.25
2553139;TARANIS COOKIES CHOCOLADE STUKJES 3X3 (135G) 6798;Glutenvrij;3.44;4.05;-0.15;0.18
3278405;RAIN PHARMA DRY ENERGY CAPS 150;Vetverbranders;50.96;59.95;-0.15;0.18
1155258;LOPROFIN SPAGHETTI 500G;Proteïnenarm;8.03;8.45;-0.05;0.05
2709624;MODIFAST PROTIPLUS PUDDING VANILLE 540G;Eiwitdieet-maaltijdvervangers;25.96;28.84;-0.10;0.11
2864940;KINESLIM BEKER;Eiwitdieet-maaltijdvervangers;2.20;2.45;-0.10;0.11
2950988;STEVABELL STROOISUIKER 350G;Suikervervangers;8.46;9.95;-0.15;0.18
2743607;RESOURCE HP HC AARDBEI FLES 4X200ML;Vervangvoeding;9.83;10.35;-0.05;0.05
2930337;DELICAL MELKDRANK HP-HC PERZIK-ABRIKOOS 4X200ML;Vervangvoeding;7.75;8.16;-0.05;0.05
3381886;XLS KUUR XANTHIGEN SOFTGELS 120 2E-50%;Vetverbranders;63.69;74.93;-0.15;0.18
2931061;FARABELLA CAVATELLI GLUTENVRIJ 500G 5703;Glutenvrij;4.00;4.45;-0.10;0.11
1481027;PRODIA FRUCTOSE 1KG 5472;Suikervrij/arm;4.81;5.35;-0.10;0.11
1629583;PRODIA GOM BEERTJES + MALTITOL 150G 6119;Suikervrij/arm;2.69;2.99;-0.10;0.11
2577369;NUTRINIDRINK VANILLE MULTI F. +12M FL 200ML 65585;Vervangvoeding;2.34;2.46;-0.05;0.05
