CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
2314250;B-MAGNUM TABL 90X450MG;Mineralen;29.65;32.95;-0.10;0.11
2971281;PHYSALIS Q10 FORTE CAPS 30;Vitaminen;14.25;15.00;-0.05;0.05
2074193;POLICOSANOL CAPS 120X10MG DEBA;Cholesterol;28.90;34.00;-0.15;0.18
2907632;DEXSIL PHARMA GEWRICHTEN FORTE DRINKBARE OPL 500ML;Artrose / slijtage;29.61;32.90;-0.10;0.11
1397272;VITAFYTEA BIFIFLOR FORTE COMP 30;Probiotica;17.81;20.95;-0.15;0.18
1441567;VITAFYTEA ACEROLA VIT C 500 TABL 150;Vitaminen;20.82;24.50;-0.15;0.18
2663755;MAGNESIUM 500 MINERALS BE LIFE GEL 180;Mineralen;20.70;23.00;-0.10;0.11
2792711;OMEGASAN 3 SOFTGELS 60 CFR 3493715;Geheugen;27.10;30.11;-0.10;0.11
2110971;ESKIMO-3 CAPS 250X500MG 3173 METAGENICS;Bloeddruk;40.94;45.49;-0.10;0.11
3229309;OMNIBIONTA PRONATAL METAFOLIN COMP 90;Zwangerschap en borstvoeding;28.01;32.95;-0.15;0.18
2891109;BIOCYTE COLLAGEN EXPRESS STICKS 10X6G;Huid;22.95;27.00;-0.15;0.18
3113321;BIOCURE D3 KIDS GUTT 20ML;Vitaminen;6.46;7.60;-0.15;0.18
3003936;PHYTOSTANDARD HARPAGOPHYTUM CAPS 60;Spierpijn en stijfheid;17.00;20.00;-0.15;0.18
1552587;DETOXIFORTE V-CAPS 60 DEBA;Leverontgifting;20.00;25.00;-0.20;0.25
2532414;ORTIS PROPEX KEELSPRAY 24ML;Luchtwegen;7.60;8.94;-0.15;0.18
2624203;BIOXSINE SH HAARUITVAL NORMAAL HAAR 300ML;Nagels en haren;11.01;12.95;-0.15;0.18
1683820;YALACTA SECURIL CAPS 30;Probiotica;17.55;19.50;-0.10;0.11
1622372;CHLORELLA COMP 500X250MG METAGENICS;Energiegebrek;42.92;50.49;-0.15;0.18
1629062;SPIRULINA PACIFICA COMP 240X500MG METAGENICS;Energiegebrek;21.67;25.49;-0.15;0.18
2787273;MULTIGENICS SENIOR PDR ZAKJE 30 7287 METAGENICS;Vitaminen;22.94;25.49;-0.10;0.11
2918043;INOVANCE NUTRI OMEGA CAPS 60;Circulatie;19.80;22.00;-0.10;0.11
2405306;ESKIMO 6:1 CAPS 90 4517 METAGENICS;Depressie;42.74;47.49;-0.10;0.11
3214947;FLAX 1000 POT TABL 90 19750 METAGENICS;Cholesterol;12.14;13.49;-0.10;0.11
2736452;ACEROLA PLUS GEL 120;Vitaminen;30.04;33.38;-0.10;0.11
3299047;ARKOVITAL ENERGIE BOOSTER BRUISTABL 20;Energiegebrek;11.69;13.75;-0.15;0.18
2424356;DIEBACINN CHOLESTEROL FILMOMH TABL 60;Cholesterol;13.56;15.95;-0.15;0.18
2307262;PROMAGNOR INSTANT CITROEN STICK 30 X 350 MG;Energiegebrek;15.26;17.95;-0.15;0.18
2792729;OMEGASAN 3 SOFTGELS 120 CFR 3493723;Circulatie;50.37;55.97;-0.10;0.11
3174893;CENTRUM ADULT ADVANCED P COMP 60;Vitaminen;21.21;24.95;-0.15;0.18
3357241;ORTIS VRUCHTEN & VEZELS MILDE WERKING STICK 12X10G;Constipatie;6.89;8.11;-0.15;0.18
2405330;ESKIMO EXTRA CAPS 50 4518 METAGENICS;Depressie;20.82;24.49;-0.15;0.18
2872794;BIFIBIOL JUNIOR BE LIFE NF GEL 60;Diarree;13.99;15.55;-0.10;0.11
2963387;SILINOVEA GEL 60;Nagels en haren;44.89;47.25;-0.05;0.05
2927044;FYTOGENON PLUS NF CAPS 60;Menopauze;26.10;29.00;-0.10;0.11
2995645;OMEGA 369 VETZUREN SOFTGELS 96;Geheugen;16.11;18.95;-0.15;0.18
2609071;ACEROLA 1000 COMP 100 ORTHONAT;Vitaminen;20.98;24.68;-0.15;0.18
1232156;OPC 85 COMPLEX CAPS 30 DEBA;Anti-oxidanten;16.06;18.90;-0.15;0.18
3257748;NUTRIQUINOL 50MG SOFTGELS 180+30 GRATIS NUTRISAN;Energiegebrek;67.82;75.36;-0.10;0.11
1622372;CHLORELLA COMP 500X250MG METAGENICS;Vitaminen;42.92;50.49;-0.15;0.18
2995645;OMEGA 369 VETZUREN SOFTGELS 96;Cholesterol;16.11;18.95;-0.15;0.18
3056918;CHOLERICE + 100MG CO-Q10 CAPS 60;Cholesterol;40.45;44.95;-0.15;0.11
3188240;CURCUDYN CAPS 180 19387 METAGENICS;Spierpijn en stijfheid;40.49;53.99;-0.25;0.33
3262631;DAVITAMON JUNIOR MFRUIT V1 COMP 120;Vitaminen;20.36;23.95;-0.15;0.18
1064005;PHYTOCYANE A/HAARUITVAL VROUW AMP 12;Nagels en haren;35.70;42.00;-0.15;0.18
1502442;HCL PLUS BIOTICS COMP 90;Spijsvertering;17.08;20.09;-0.15;0.18
1777192;PHARMAGENERIX PERFLORE PG 135MG CAPS 50;Probiotica;8.24;9.70;-0.15;0.18
2160380;SORIA DAUCUS CAROTA BLISTER TABL 60X600MG;Huid;10.84;12.75;-0.15;0.18
2314730;OMNIVIT VITALITY ADULT SINAAS BRUISTABLETTEN 20;Vitaminen;12.71;14.95;-0.10;0.18
3002532;FYTOBELL MINERAVIT NF TABL 100;Vitaminen;16.87;19.85;-0.15;0.18
3187424;MOREPA SMART FATS PLATINUM SOFTGEL 60;Geheugen;38.76;45.60;-0.15;0.18
3343159;MANHAE SERENITY EQUILIBRE COMP 60;Menopauze;16.97;19.96;-0.15;0.18
2742963;ARKOCAPS OMEGA 3 UIT DE ZEE 60 VERV.643668;Cholesterol;11.52;13.55;-0.15;0.18
2753838;EXCILOR STOP BESCHAD.NAGELS DOOR SCHIMMEL 400APPL.;Nagels en haren;21.16;24.90;-0.15;0.18
3247962;DETOXIMIX PLUS POT CAPS 60 PHARMANUTRICS;Leverontgifting;21.16;24.90;-0.15;0.18
2462109;CURCUMA-250 CAPS 60 DEBA;Artrose / slijtage;18.87;22.20;-0.15;0.18
2973527;SIMILASE LACTO CAPS 60 METAGENICS;Spijsvertering;25.92;30.49;-0.15;0.18
3134574;ALTISA RODE GIST RIJST ADV.COMPLX+Q10 NATUR TABL30;Cholesterol;9.31;10.35;-0.10;0.11
2875698;MANNAVITAL DARMOTON FORTE CAPS 60;Constipatie;7.39;8.69;-0.15;0.18
3115946;MANNAVITAL IJZER PLATINUM V-CAPS 60;Mineralen;7.61;8.95;-0.15;0.18
3248564;MAGNESIUM GEL TUBE 200ML DEBA;Mineralen;16.15;19.00;-0.15;0.18
2886398;ALVITYL PLUS COMP 40 VERV.1208677;Vitaminen;14.39;15.99;-0.10;0.11
2506913;BIOACTIVE Q10 50MG CAPS 30;Energiegebrek;11.01;12.95;-0.15;0.18
2685378;ZINK PIDOLAAT V-CAPS 60X 75MG DEBA;Huid;12.66;14.90;-0.15;0.18
2700607;BEST CHOICE MAGNESIUMMALAAT 500 V-CAPS 120;Mineralen;22.45;24.95;-0.10;0.11
1017565;SORIA SORICAPSULE COMPOSED N14-C ALLERDIN 60;Hooikoorts;14.24;16.75;-0.15;0.18
2762185;MAGNESIUM B6 DUOPACK CAPS 2X60;Stress;13.17;15.50;-0.15;0.18
380469;VALDA ZONDER SUIKER PASTILLES 50;Luchtwegen;2.93;3.45;-0.15;0.18
1696665;JODIUM VLOEIBAAR BIOTICS GUTT 2OZ;Mineralen;15.38;18.10;-0.15;0.18
3092210;VIRILAB RE830 PLUS CAPS 30;Erectieproblemen;26.55;29.50;-0.15;0.11
2787299;MULTIGENICS FEMINA PDR ZAKJE 30 7284 METAGENICS;Mineralen;22.94;25.49;-0.10;0.11
3295987;LINIANE GEL FL 60;Prostaat;12.82;14.25;-0.10;0.11
2072262;TOCOTRIENOL-50 CAPS 60 DEBA;Vitaminen;42.07;49.50;-0.15;0.18
3457413;MAGNEVITS PLUS COMP 90;Mineralen;18.69;21.99;-0.15;0.18
2651883;OSTEO RHUMAL DUOPACK GEL 2X90;Spierpijn en stijfheid;41.61;48.95;-0.15;0.18
3215423;PHYTOBRONZ VOORBEREIDER OP DE ZON CAPS 60 PROMO;Huid;34.32;40.38;-0.15;0.18
3050457;CALDYN PDR ZAKJE 84 16257 METAGENICS;Mineralen;38.69;42.99;-0.10;0.11
2385698;CHONDRONORM TABL 90 NUTRISAN;Spierpijn en stijfheid;22.18;26.10;-0.15;0.18
2318111;C-COMPLEX BIOFLAVON. COMP 90 DEBA;Anti-oxidanten;12.24;14.40;-0.15;0.18
3278496;RAIN PHARMA MOOD FL 14X60ML;Energiegebrek;33.11;38.95;-0.15;0.18
2952331;VISTA D3 800 ULTRA SMELTTABLETTEN 120;Vitaminen;13.56;15.95;-0.15;0.18
3037603;ALVITYL MULTIVITAMINEN DRINKB.OPL FL 150ML;Vitaminen;11.89;13.99;-0.15;0.18
2907632;DEXSIL PHARMA GEWRICHTEN FORTE DRINKBARE OPL 500ML;Mineralen;29.61;32.90;-0.10;0.11
3277225;NEPTUNE KRILL OIL LICAPS V-CAPS 60 NUTRISAN;Artrose / slijtage;27.10;30.11;-0.10;0.11
2828341;MEMOPTIC BLISTER COMP 2X15;Stress;16.75;18.61;-0.10;0.11
2458073;VIA NATURA OMEGA 3-6-9 SOFTCAPS 160;Menopauze;38.65;42.95;-0.10;0.11
2309573;DOLMAD DUO TABL 60;Artrose / slijtage;19.33;22.74;-0.15;0.18
3028016;METARELAX NF TABL 90 16110 METAGENICS;Mineralen;22.94;25.49;-0.20;0.11
3020054;TRICARTIL BE LIFE NF GEL 120;Artrose / slijtage;27.45;30.50;-0.10;0.11
2545481;IMUNIXX 100 TABL 30X 320MG;Afweer;17.64;20.75;-0.15;0.18
2725661;VITALS SALVESTROL SHIELD CAPS 60;Superfoods;29.71;34.95;-0.15;0.18
1715028;D-STRESS COMP 80;Stress;17.81;20.95;-0.15;0.18
2927069;FYTOGENON F NF COMP 60;Menopauze;27.72;30.80;-0.10;0.11
3035144;LAMBERTS EYEWISE TABL 60;Oogdegeneratie;30.87;34.30;-0.10;0.11
2800324;SILICIUM ORGANISCH G5 Z/BEWAARM.VLB 500ML BIOTICAS;Mineralen;20.42;21.50;-0.05;0.05
2682979;VITAFYTEA RELAN TABL 30;Stress;15.26;17.95;-0.15;0.18
3085438;MANNAVITAL KYOLIC + CO-ENZYM Q10 CAPS 60;Bloeddruk;22.06;25.95;-0.15;0.18
2684975;PHYSALIS KRILL OMEGA 3 CAPS 30;Cholesterol;12.15;13.50;-0.10;0.11
2743482;CIBALAX ZAKJE 30;Constipatie;21.16;24.90;-0.15;0.18
2567709;FYTOSIL ORGANISCH SILICIUM+MSM & GLUCOSAMINE 500ML;Artrose / slijtage;34.77;36.60;-0.05;0.05
3351525;NUTRI MK7 NF SOFTGEL 120 NUTRISAN;Circulatie;48.44;53.82;-0.10;0.11
3364908;BIOCONDIL COMP 60 + MOBILITYL CAPS 30;Artrose / slijtage;29.75;35.00;-0.15;0.18
3174570;CENTRUM WOMEN ADVANCED COMP 90;Vitaminen;33.96;39.95;-0.15;0.18
1769082;LEPPIN EPA - DHA 1000MG CAPS 30;Cholesterol;10.45;12.30;-0.15;0.18
2405330;ESKIMO EXTRA CAPS 50 4518 METAGENICS;Cholesterol;20.82;24.49;-0.15;0.18
2410819;PREBIO XTRA CAPS 40;Probiotica;11.81;13.90;-0.15;0.18
3248572;MAGNESIUM OLIE FL 500ML DEBA;Mineralen;29.75;35.00;-0.15;0.18
2388817;CODLIVE POT CAPS 90 2501 METAGENICS;Vitaminen;17.54;19.49;-0.10;0.11
