CNK;Naam;Subcategorie;Nieuwe prijs;Oude prijs;Korting;Korting
1608793;MOSQUETAS ROSE ROZENOLIE NATUUR BIO 30ML;Huid, haren & nagels;13.26;15.60;-0.15;0.18
3118635;ALTISA CATS CLAW UNCARIA TOMENTOSA 500MG CAPS 100;Winterkwalen en weerstand;23.35;25.95;-0.10;0.11
3051968;DR ERNST RELAX TEA 20;Thees;4.23;4.98;-0.15;0.18
1487917;SJANKARA STROBLOEM BIO ESS OLIE 11ML;Per klacht;59.58;70.10;-0.15;0.18
3027711;EXILIS COMP 60;Afslanken;16.49;19.40;-0.15;0.18
2939247;GREEN TEA PLATINUM V-CAPS 60;Superfoods en anti-aging;15.26;17.95;-0.15;0.18
3267010;RIBES NIGRUM MSA MACERAAT DRUPPELS 50ML;Spieren en gewrichten;12.75;15.00;-0.15;0.18
1017565;SORIA SORICAPSULE COMPOSED N14-C ALLERDIN 60;Allergie;14.24;16.75;-0.15;0.18
3086576;PHYTOSUN ROLL ON GEWRICHTEN&SPIEREN 50ML;Spieren en gewrichten;9.31;10.95;-0.15;0.18
2371268;ARKOCAPS CRANBERRYNE CAPS 150;Urinewegen;30.51;35.90;-0.15;0.18
2660439;WELEDA AMANDEL GEZICHTSOLIE VERZACHTEND FL 50ML;Huid, haren & nagels;13.59;15.99;-0.15;0.18
2694420;CURCUFLAM FORTE TABL 60;Spieren en gewrichten;34.95;41.12;-0.15;0.18
2413607;ABIES SIBIRICA HERBA HELV. ESS OLIE 10ML;Per klacht;6.58;7.74;-0.15;0.18
1386051;ARKOCAPS GINSENG PLANTAARDIG 150;Energiegebrek;47.60;56.00;-0.15;0.18
1740430;BACH FLOWER REMEDIE 07 CHESTNUT BUD 20ML;Desinteresse in nu;10.16;11.95;-0.15;0.18
1629062;SPIRULINA PACIFICA COMP 240X500MG METAGENICS;Energiegebrek;21.67;25.49;-0.15;0.18
2087393;SJANKARA SALIE OFFIC. BIO ESS OLIE 11ML;Per klacht;5.91;6.95;-0.15;0.18
1677673;LIPOGEN CAPS 30 1432 METAGENICS;Maag en darmen;23.79;27.99;-0.10;0.18
3031739;BIONAL CRANBERRY MIX TABL 40;Urinewegen;13.13;15.45;-0.15;0.18
2324267;ORTIS FERRO PLUS-G N1 250ML;Energiegebrek;12.32;14.50;-0.15;0.18
1681964;BIOLYS TIJM BIO TEA-BAGS 20;Thees;3.98;4.98;-0.20;0.25
2927242;VINUPHYT CAPS 60 NUTRISAN;Hart en bloedvaten;15.11;17.78;-0.15;0.18
